Date,Sequential Number,Variable Name,Value
1981-03-31,111,FLOW_OUT_3_1981,33.46451613
1981-04-30,112,FLOW_OUT_4_1981,28.37
1981-05-31,113,FLOW_OUT_5_1981,18.43225806
1981-06-30,114,FLOW_OUT_6_1981,35.47266667
1981-07-31,115,FLOW_OUT_7_1981,78.22258065
1981-08-31,116,FLOW_OUT_8_1981,208.6451613
1981-09-30,117,FLOW_OUT_9_1981,252.1
1981-10-31,118,FLOW_OUT_10_1981,59.63870968
1981-11-30,119,FLOW_OUT_11_1981,46.70333333
1981-12-31,120,FLOW_OUT_12_1981,26.32903226
1982-01-31,121,FLOW_OUT_1_1982,24.70645161
1982-02-28,122,FLOW_OUT_2_1982,33.20357143
1982-03-31,123,FLOW_OUT_3_1982,43.39354839
1982-04-30,124,FLOW_OUT_4_1982,36.76666667
1982-05-31,125,FLOW_OUT_5_1982,36.19354839
1982-06-30,126,FLOW_OUT_6_1982,19.42166667
1982-07-31,127,FLOW_OUT_7_1982,35.4083871
1982-08-31,128,FLOW_OUT_8_1982,103.5903226
1982-09-30,129,FLOW_OUT_9_1982,78.31666667
1982-10-31,130,FLOW_OUT_10_1982,35.27096774
1982-11-30,131,FLOW_OUT_11_1982,33.98333333
1982-12-31,132,FLOW_OUT_12_1982,18.64193548
1983-01-31,133,FLOW_OUT_1_1983,14.91612903
1983-02-28,134,FLOW_OUT_2_1983,21.38214286
1983-03-31,135,FLOW_OUT_3_1983,36.0516129
1983-04-30,136,FLOW_OUT_4_1983,44.97
1983-05-31,137,FLOW_OUT_5_1983,87.88709677
1983-06-30,138,FLOW_OUT_6_1983,87.17666667
1983-07-31,139,FLOW_OUT_7_1983,49.36129032
1983-08-31,140,FLOW_OUT_8_1983,93.07419355
1983-09-30,141,FLOW_OUT_9_1983,146.2333333
1983-10-31,142,FLOW_OUT_10_1983,169.0
1983-11-30,143,FLOW_OUT_11_1983,76.69
1983-12-31,144,FLOW_OUT_12_1983,41.21290323
1984-01-31,145,FLOW_OUT_1_1984,25.93225806
1984-02-29,146,FLOW_OUT_2_1984,30.56896552
1984-03-31,147,FLOW_OUT_3_1984,42.90322581
1984-04-30,148,FLOW_OUT_4_1984,39.09333333
1984-05-31,149,FLOW_OUT_5_1984,65.70645161
1984-06-30,150,FLOW_OUT_6_1984,58.52
1984-07-31,151,FLOW_OUT_7_1984,120.4354839
1984-08-31,152,FLOW_OUT_8_1984,174.4064516
1984-09-30,153,FLOW_OUT_9_1984,138.22
1984-10-31,154,FLOW_OUT_10_1984,85.26774194
1984-11-30,155,FLOW_OUT_11_1984,58.28666667
1984-12-31,156,FLOW_OUT_12_1984,35.80967742
1985-01-31,157,FLOW_OUT_1_1985,28.73225806
1985-02-28,158,FLOW_OUT_2_1985,39.075
1985-03-31,159,FLOW_OUT_3_1985,41.38387097
1985-04-30,160,FLOW_OUT_4_1985,34.48
1985-05-31,161,FLOW_OUT_5_1985,71.10967742
1985-06-30,162,FLOW_OUT_6_1985,39.71333333
1985-07-31,163,FLOW_OUT_7_1985,50.96129032
1985-08-31,164,FLOW_OUT_8_1985,100.683871
1985-09-30,165,FLOW_OUT_9_1985,131.0533333
1985-10-31,166,FLOW_OUT_10_1985,84.4516129
1985-11-30,167,FLOW_OUT_11_1985,51.49666667
1985-12-31,168,FLOW_OUT_12_1985,29.80967742
1986-01-31,169,FLOW_OUT_1_1986,27.37741935
1986-02-28,170,FLOW_OUT_2_1986,31.19642857
1986-03-31,171,FLOW_OUT_3_1986,43.08709677
1986-04-30,172,FLOW_OUT_4_1986,33.37666667
1986-05-31,173,FLOW_OUT_5_1986,24.82258065
1986-06-30,174,FLOW_OUT_6_1986,78.49
1986-07-31,175,FLOW_OUT_7_1986,82.98709677
1986-08-31,176,FLOW_OUT_8_1986,32.11612903
1986-09-30,177,FLOW_OUT_9_1986,23.92333333
1986-10-31,178,FLOW_OUT_10_1986,23.00645161
1986-11-30,179,FLOW_OUT_11_1986,19.80666667
1986-12-31,180,FLOW_OUT_12_1986,19.48709677
