lat	long
34.451284	109.012506
34.451284	109.012506
34.457516	108.605824
34.457516	108.605824
34.451284	109.012506
34.451177	109.005973
34.448322	108.996799
34.450353	108.988039
34.445359	108.981093
34.443877	108.973240
34.447790	108.965245
34.449777	108.955401
34.449060	108.945624
34.455494	108.940048
34.456962	108.932368
34.460634	108.924143
34.459102	108.913587
34.454912	108.905802
34.448901	108.899916
34.444978	108.891852
34.442337	108.882450
34.439833	108.875658
34.442063	108.866678
34.440574	108.858827
34.446370	108.852638
34.453909	108.848117
34.459201	108.841445
34.460414	108.833524
34.458922	108.825673
34.456053	108.816506
34.451857	108.808726
34.457147	108.802051
34.453514	108.793681
34.450079	108.785105
34.451061	108.777421
34.448731	108.767688
34.449623	108.760096
34.442769	108.755095
34.437303	108.751969
34.431775	108.745580
34.431605	108.736342
34.434136	108.727032
34.434270	108.717474
34.433792	108.708556
34.439991	108.709157
34.448674	108.708914
34.454203	108.715299
34.452653	108.704746
34.455434	108.695675
34.463220	108.691381
34.460086	108.682486
34.452948	108.677785
34.458291	108.672739
34.455389	108.664657
34.453050	108.654927
34.447511	108.648552
34.441971	108.642179
34.437788	108.634381
34.432487	108.627756
34.430697	108.617449
34.427798	108.608305
34.431037	108.604948
34.438052	108.603116
34.442667	108.607130
34.448166	108.611731
34.452760	108.607593
34.457516	108.605824
34.457516	108.605824
34.458660	108.595196
34.462057	108.589368
34.462974	108.581178
34.459597	108.574204
34.458035	108.563654
34.455147	108.554495
34.455204	108.545487
34.458922	108.540445
34.465899	108.538643
34.470142	108.533620
34.476245	108.527716
34.476113	108.521182
34.480642	108.516981
34.480986	108.508805
34.473843	108.504119
34.471564	108.497079
34.475457	108.489072
34.475011	108.479591
34.480537	108.473137
34.477643	108.463981
34.482913	108.457283
34.489114	108.454670
34.496278	108.449771
34.502995	108.444447
34.502720	108.437922
34.493977	108.434923
34.490026	108.426879
34.483653	108.428058
34.479065	108.420684
34.476592	108.413845
34.472263	108.406198
34.473554	108.398157
34.470712	108.391707
34.467812	108.382554
34.463588	108.374794
34.462009	108.364248
34.459821	108.354342
34.454265	108.347988
34.453727	108.339843
34.457300	108.334183
34.464972	108.332956
34.469277	108.325342
34.477323	108.327664
34.486069	108.330651
34.495014	108.327434
34.494812	108.318197
34.502577	108.317058
34.511179	108.313515
34.519853	108.313236
34.526930	108.314643
34.535603	108.314364
34.544203	108.310819
34.549466	108.304113
34.556397	108.298986
34.558321	108.289117
34.566920	108.285569
34.573849	108.280439
34.581804	108.277569
34.588560	108.277384
34.596449	108.273162
34.597333	108.264957
34.604260	108.259824
34.612417	108.255855
34.618111	108.249555
34.623365	108.242839
34.630951	108.238329
34.624135	108.235902
34.621301	108.230194
34.628013	108.228055
34.633269	108.221340
34.640094	108.216109
34.646543	108.210523
34.652265	108.204248
34.655670	108.195784
34.658158	108.186456
34.656563	108.175913
34.663198	108.170500
34.665685	108.161170
34.664087	108.150627
34.661168	108.141483
34.668376	108.136610
34.674434	108.130651
34.679017	108.129696
34.684568	108.136052
34.691715	108.140716
34.697264	108.147074
34.704180	108.141924
34.709702	108.135460
34.717717	108.131348
34.721575	108.123312
34.724067	108.113990
34.730699	108.108572
34.738714	108.104457
34.742579	108.096429
34.747761	108.089643
34.756346	108.086065
34.762470	108.080167
34.769100	108.074745
34.773800	108.070704
34.779031	108.063964
34.789291	108.061962
34.798464	108.058935
34.803709	108.052208
34.810008	108.046473
34.818590	108.042887
34.825162	108.044796
34.825189	108.045930
34.825189	108.045930
34.825189	108.045930
34.825189	108.045930
34.830434	108.039202
34.826504	108.031127
34.822555	108.023071
34.816380	108.017381
34.814162	108.010259
34.807954	108.004604
34.807659	107.992664
34.810199	107.986031
34.807268	107.976892
34.802503	107.969703
34.800155	107.962718
34.798607	107.954882
34.801077	107.945545
34.800844	107.936307
34.804697	107.928271
34.807165	107.918933
34.809701	107.912297
34.813552	107.904260
34.811931	107.893722
34.811625	107.881782
34.810489	107.874337
34.813921	107.865907
34.813683	107.856670
34.817530	107.848629
34.815905	107.838092
34.815664	107.828855
34.816809	107.820917
34.822040	107.814174
34.824499	107.804833
34.828343	107.796789
34.829413	107.786149
34.831870	107.776806
34.832939	107.766165
34.831431	107.755497
34.830164	107.747349
34.825483	107.740070
34.823848	107.729535
34.826300	107.720190
34.820721	107.713870
34.817308	107.705235
34.813505	107.697015
34.810553	107.687886
34.808914	107.677352
34.804595	107.669684
34.800379	107.661905
34.796640	107.653617
34.794469	107.643649
34.788887	107.637333
34.791332	107.627986
34.788375	107.618859
34.786913	107.608130
34.789172	107.598979
34.788838	107.587040
34.785645	107.580327
34.785693	107.571378
34.782566	107.562431
34.779847	107.555830
34.775572	107.548112
34.773921	107.537581
34.765711	107.534086
34.757382	107.530718
34.754979	107.520991
34.751571	107.512343
34.748606	107.503220
34.742016	107.498609
34.744140	107.488969
34.745184	107.478324
34.743404	107.470711
34.735394	107.467006
34.737825	107.457654
34.740346	107.451379
34.745640	107.447507
34.743980	107.436977
34.739699	107.429265
34.739427	107.420028
34.732167	107.415519
34.720380	107.415877
34.717408	107.406757
34.707471	107.405128
34.701880	107.398823
34.700708	107.390553
34.703133	107.381199
34.705558	107.371844
34.706592	107.361197
34.706234	107.349259
34.706665	107.338053
34.711124	107.332074
34.716721	107.338371
34.724636	107.342171
34.731645	107.340195
34.740181	107.336573
34.749187	107.339198
34.754405	107.332927
34.759334	107.325899
34.764528	107.319117
34.770010	107.312601
34.775015	107.308822
34.782190	107.313416
34.788808	107.308474
34.795483	107.305725
34.802919	107.301022
34.810057	107.296041
34.814983	107.289009
34.823256	107.285656
34.830064	107.287264
34.835328	107.282618
34.837745	107.273259
34.847117	107.270349
34.843907	107.261478
34.846859	107.254786
34.849046	107.245216
34.857328	107.244473
34.861432	107.252378
34.868240	107.253982
34.877160	107.256691
34.883000	107.250506
34.883134	107.241657
34.886419	107.233306
34.887419	107.225059
34.892597	107.218260
34.894427	107.209973
34.897554	107.204908
34.905788	107.200936
34.912374	107.195439
34.914770	107.186065
34.921737	107.184102
34.926911	107.177297
34.938819	107.176767
34.944220	107.176493
34.946710	107.169828
34.950509	107.161753
34.955343	107.154634
34.962284	107.149463
34.957984	107.141766
34.963174	107.134976
34.963531	107.126341
34.967007	107.117968
34.973257	107.112157
34.978445	107.105365
34.978062	107.093428
34.977197	107.086288
34.981644	107.078811
34.985437	107.070731
34.987836	107.061365
34.982458	107.054837
34.973699	107.051973
34.975097	107.043690
34.982065	107.041719
34.988359	107.035946
34.999156	107.034325
35.006036	107.039224
35.012701	107.036385
35.020671	107.032157
35.016365	107.024467
35.014667	107.013945
35.015668	107.003293
35.020850	106.996493
35.017935	106.990088
35.017629	106.980851
35.017322	106.971615
35.014406	106.965211
35.020618	106.959359
35.027553	106.954173
35.032731	106.947370
35.040947	106.950588
35.050138	106.952973
35.056984	106.947704
35.065633	106.947276
35.075868	106.945125
35.083905	106.941959
35.090825	106.946811
